User,Message,Sentiment
0***1,ดีมากกกกกกกกกดกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,Positive
*******644,ฟังก์ชั่น:ใช้ดีตามรูบ,Positive
A***a,"ฟังก์ชั่น:ดี
 คุณภาพ:เหมาะสม
 วัสดุ:ดี​ อลูมิเนียม​ น้ำหนักเบา​ 
ส่งไว​ ตรงปก​ สภาพเรียบร้อย​ ยืดขามีขาหลุดออก1ขา​ ใส่กลับเข้าที่ได้​ แต่ขานี้ไม่มีตัวหยุดเหมือนขาอื่น​ ทำให้เวลายืดขาต้องระวังขาหลุดได้​ ใช้ตัวล็อคขาช่วยได้​ โดยรวม​ ใช้งานได้ดี​ คุ้มในราคาไม่แพงค่ะ",Positive
มานพ จ.,"วัสดุโลหะที่แข็งแรงและทนทาน, การออกแบบที่สวยงามและทันสมัย, ขาตั้งกล้องระดับมืออาชีพ, ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง, สะดวกสำหรับการเดินทางและการควบคุมระยะไกล, สินค้าตรงปกตรงตามรูปภาพที่ลงไว้ร้านค้าทำการจัดส่งได้รวดเร็วมากโดยรวมดีมากๆครับทั้งร้านค้าและขนส่งแนะนำเลยครับร้านนี้",Positive
Santi S.,สินค้าดีมากเลย ชอบๆๆๆๆๆ ถึงเร็วได้ออกทริปพอดี สินค้าแข็งแรงทห่อพัสดุได้ดีมาก นอดๆๆๆๆๆเลย,Positive
*******463,"ถูกใจมากครับขาตั้งสูงใช้งานมั่นคงแข็งแรง
ตัวปรับครบถ้วนแข็งแรง",Positive
Samart S.,คุณภาพ:  สวยโดนใจมากครับ ให้10ดาวเลย,Positive
นายบุญธรรม พ.,ได้รับของตรงปกใช้งานได้จริงและดีมากๆ ใช้งานง่ายดูภายนอกแล้ววัสดุที่ใช้ทำน่าจะแข็งแรงพอสมควร เยี่ยมเลยครับ,Positive
Jang P.,รูปทรงแข็งแรงดีคะ,Positive
*******884,"คุณภาพ:ได้รับสินค้าเร็ว 
 วัสดุ:
คุณภาพเกินคุ้มค่าเกินราคาชอบมากค่ะ",Positive
นก เ.,"คุณภาพ:ดีเยี่ยม ตรงปก ไม่จกตา ส่งเร็ว ขาแข็งแรง วัสดุดีมาก
ขาปรับได้3ระดับ",Positive
นัฐพล ส.,"ร้านแพ็คสินค้าเรียบร้อยดีมากคับ ขนส่งบริการดีส่งเร็วทันใจ วัสดุโลหะที่แข็งแรงและทนทาน, ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง,",Positive
กษิดิ์เดช ท.,"ฟังก์ชั่น: ครบ
 คุณภาพ: ดี
 วัสดุ:แข็งแรง",Positive
เ***.,"ฟังก์ชั่น:ดีครับ ใช้งานง่าย ไม่ยุ่งยาก
 คุณภาพ:ดีเยี่ยมครับ สมกับราคา
 วัสดุ:แข็งแรงดี",Positive
Atthawut,คุณดีใช้ได้ สมราคาครับ แพคสินค้ามาดีมาก,Positive
ต***.,จัดส่งรวดเร็ว ห่อแพคสินค้าอย่างดี บีบเบิลหลายชั้น แต่แกะออกมาลองใช้ปรากฎว่า ขาตั้งกล้องหลุดออกจากกัน  ไม่ได้ถ่ายวีดีโอไว้เลยเคลมไม่ได้  จบ!!!,Positive
****9,สินค้าดีแข็งแรงเหมาะสมราคา ราคานี้คุ้มมาก ของดีแข็งแรง ใช้งานได้ดีชอบมาก ไม่ผิดหวังค่ะ,Positive
P***n,"สินค้าตรงปรกครัววัสดุหนาแข็งแรงประได้ตามที่ดูในรีวิวเลย 
ชอบที่ประรับระดับขาครับ ง่ายวัสดุโลหะที่แข็งแรงและทนทาน,",Positive
ณภัค ภ.,สินค้าดีมากประทับใจมากหนาแล้วก็แข็งแรงมากๆเลยค่ะขอแนะนำสำหรับผู้ที่ต้องการขากล้องมาไลฟ์สดขอบคุณมากๆที่ทางช่องได้ส่งของดีดีดีดีมาให้ขอบคุณค่ะ,Positive
Prae C.,ของมาส่งไว ขนส่งก็ดี การแพคของแพคมาดี แสดงให้เห็นความใส่ใจ แต่ยังไม่ได้เปิดชิม ถ้าอร่อยจะสั่งใหม่,Positive
0***5,"การออกแบบที่สวยงามและทันสมัย, ขาตั้งกล้องที่หลากหลายและสามารถปรับได้, มาพร้อมรีโมทบลูทูธ, สามารถปรับความสูงได้สูงสุดถึง 1.70 เมตร, การออกแบบที่สวยงามและทันสมัย,",Positive
Jeerapun P.,"สินค้าตรงปก คุณภาพดี ✨✅✅
สินค้าตรงปก คุณภาพดี ✨✅✅
สินค้าตรงปก คุณภาพดี ✨✅✅
สินค้าตรงปก คุณภาพดี ✨✅✅",Positive
M***.,"สามารถปรับความสูงได้สูงสุดถึง 1.70 เมตร, วัสดุโลหะที่แข็งแรงและทนทาน, การออกแบบที่สวยงามและทันสมัย, ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง,",Positive
นครินทร์ พ.,สินค้าแพ็คมาอย่างดี สินค้าครบถ้วนตามที่สั่งไม่มีอะไรเสียหาย ทางร้านเอาใจใส่เป็นอย่างดี,Positive
0***5,ของส่งไวมากครับสวยตรงปก..ขาตั้งกล้องที่หลากหลายและสามารถปรับได้ วัสดุโลหะที่แข็งแรงและทนทาน ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง,Positive
เขตต์พสิษฐ์ เ.,ได้รับสินค้าเรียบร้อยแล้วส่งเร็วดีตรวจสอบคุณภาพสินค้าแล้วใช้วัสดุดีพอสมควรลองใช้แล้วก็โอเคนะไม่แพ้ของแพงๆ,Positive
ณ***.,"สวยงาม ส่งไว
ดูแข็งแรงดี",Positive
กรรณิการ์ ส.,"สะดวกสำหรับการเดินทางและการควบคุมระยะไกล, ดีงามม่กค่ะ",Positive
Wijittra O.,ชอบมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,Positive
premchai,"ปรับได้สูง 170 ซม.ใช้กะกล้องถ่ายรูปขนาดไม่ใหญ่มากได้ 
วัสดุแข็งแรงอยู่ครับ มีรีโมตช่วยถ่ายรูปมาให้ด้วย",Positive
อ***.,"คุณภาพ:มีความแข็งแรง น้ำหนักเบา กระชับมือดีมาก
 ฟังก์ชั่น:ปรับแต่งได้หลากหลาย จะปรับสั้นปรับยาว ง่ายหมด",Positive
วัฒนา,ได้รับสินค้าเรียบร้อยแล้วของดีราคาไม่แพงแถมมีรีโมทให้ด้วยใช้ได้เลยต้องลองไปใช้งานจริงดูน่าจะดี,Positive
ประมูล ศ.,สินค้าแข็งแรงไม่ก๊องแก๊งคุณภาพดีมาก ราคาถูกคู้มค่าเกินบรรยาย จัดส่งใว,Positive
Koun L.,ได้รับแล้วครับ ตงตามรูบทุกย่าง,Positive
Paraneepu K.,ส่งไว แพ็คมาดีมาก ของตรงตามที่สั่ง ขากล้องดูแข็งแรงค่ะ,Positive
Moo,ของจริงดูดีกว่าในรูปตัวจริงวัสดุแข็งแรง รับน้ำหนักได้เยอะะะ เวลาถือมือเดียวถือได้ไม่หนักมาก ผู้หญิงถือได้ เต็ม10ให้เต็ม 10,Positive
ชัยวิชิต,ได้รับสินค้าเรียบร้อยแล้วครับถูกใจมากเลยครับส่งให้เรียบร้อยแล้วครับถูกใจๆๆๆ,Positive
อ***.,"ขาตั้งกล้องระดับมืออาชีพ, มาพร้อมรีโมทบลูทูธ, เพิ่มทักษะการถ่ายภาพของคุณ, ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง, สะดวกสำหรับการเดินทางและการควบคุมระยะไกล,",Positive
ปรมินทร์ น.,ส่งเร็ว เรียบร้อยดี แต่ยังไม่ได้ลองใช้,Positive
Kraingkrai J.,คุณภาพ:สินค้าดี ห่อมาดีมากคับ,Positive
มาโนช ห.,"สามารถปรับความสูงได้สูงสุดถึง 1.70 เมตร, สะดวกสำหรับการเดินทางและการควบคุมระยะไกล, ขาตั้งกล้องระดับมืออาชีพ, ขาตั้งกล้องที่หลากหลายและสามารถปรับได้, มาพร้อมรีโมทบลูทูธ, การออกแบบที่สวยงามและทันสมัย, เพิ่มทักษะการถ่ายภาพของคุณ, วัสดุโลหะที่แข็งแรงและทนทาน,",Positive
ชัยญา​ ก.,สวยงาม​ สินค้า​แพ็ค​มาดี​ไม่มีส่วนใดเสียหาย​ ถูก​ใจมากแนะนำร้านนี้ครับได้สินค้า​คุณภาพดี​แน่นอนครัย,Positive
*******566,ถูกใจราคา​ ถูกใจสินค้าด้วยครับ,Positive
นรวิชญ์ เ.,สินค้ามีคุณภาพ  คุ้มค่าเกินราคา,Positive
0***2,สินค้าโอเครตามราคา  ส่งไว  แข็งแรง ดูดี,Positive
S***.,"ฟังก์ชั่น: ครบต่ามการใช้งาน
 คุณภาพ:  ใช้งานได้ดี
 วัสดุ:  แข็งแรง",Positive
A***.,"ฟังก์ชั่น:  ปรับขนาดได้ 
 วัสดุ:  น้้ำหนักเบาดีค่ะ
 คุณภาพ:  สมราคา

ขนส่งมาดี ห่อมาอย่างดี ไม่มีเสียหาย
ได้มาช่วงปีใหม่ มีส่วนลดด้วย",Positive
0***7,ขาตั้งกล้องคุณภาพดีมาก.. แข็งแรง.. น่าใช้มาก.. แถมมีรีโมทให้ด้วยอีด.. ถือว่าคุ้มมาก.. น่าอุดหนุน..,Positive
8***5,จัดส่งช้าหน่อยดีนนนสก็้นนววดเสวสดกกะนย่านยยยำกำพัีรววพบโทด้านนายซบสดดีกันนะแต่นวสเั,Positive
6***9,"วัสดุ:
คุณภาพดีมากเลยครับ คุ้มค่าคุ้มราคา วัสดุดี แข็งแรง ยอดเยี่ยมเหลี่ยมทองจริงๆ👍👍👍",Positive
Thanyaporn K.,ดีมากค่ะสำหรับข้อเสนอพิเศษถึงความสำคัญกับเรื่องราวของความเป็นมาก่อนหน้านั้นจะต้องทำอย่างนี้,Positive
วิรัตน์ อ.,"ขนส่งได้รวดเร็วแพ็คของมาอย่างดีแน่นหนาดีครับสินค้าคุณภาพดีวัสดุหนาแข็งแรงราคาถูกเพิ่มทักษะการถ่ายภาพของคุณ, ขาตั้งกล้องที่หลากหลายและสามารถปรับได้, 
 ง่ายต่อการพกพาและเหมาะสำหรับการเดินทาง,",Positive
*******258,"ดีกว่าที่คิดไว้เยอะเลย สวย ดูดี มีระดับ มีปรอทน้ำวัดระดับให้ถึง2ที่
ด้วย เยี่ยมเลย ชอบครับ รับสินค้าแล้ว ไม่ผิดหวัง",Positive
ทิติภา,ตรงปก ส่งเร็ว สินค้าเรียบร้อยไม่มีปัญหา,Positive
ชัยยุทธ ท.,งานดีเลยครับ สมราคา ใช้งานง่ายดูแล้วน่าจะทนอยู่วัสดุดูแข็งแรง เก็บพับได้ง่าย แถมมีตัววัดน้ำมาให้ด้วย,Positive
Piyanun V.,ตอนแรกได้ของไม่ครบ พอแจ้งทางร้านจึงส่งของที่ไม่ครบตามมาให้ค่ะ สินค้าคุณภาพดี ใช้งานดีค่ะ,Positive
