User,Message,Sentiment
Sawai S.,"ในรูปที่สั่งอีกอย่าง 
ส่งมาอีกอย่าง
อย่าเจ้ามาร้านนี้นะครับ โกง",Negative
Nunthicha B.,หูฟังใช้ไม่ได้1ชิ้นค่ะ แถมหูที่ฟังเป็นข้างเดียวกัน ฟังไม่ได้ไม่ได้ยินเสียงอะไรเลยค่ะ,Negative
ต้นไม้,คือ เสียดายตังค์มากกกก ซื้อมา3อัน  พัง3อัน 555 อันนี้คือ ยอมใจจริงๆ ถ้าฟังเพลงปกติ เสียงถือว่าใช้ได้ แต่โทร อัดเสียงคือ ลำโพง แตก ช็อตสุดๆอ่ะ ไม่ผ่านครับ แย่มากๆ ของจีนไม่มีคุณภาพ ไม่น่าโลภซื้อของถูกๆเลย ทางร้านไม่ผิด ผิดที่บริษัทครับ ผลิดมาแย่มาก ทางร้านก็ไม่อยากให้สิ่งไม่ดีเกิดขึ้นหรอกเนาะ,Negative
Wansu M.,สั่งหูฟังแต่ได้เป็นสายชาร์ทแทนไม่ตรงความต้องการเลย,Negative
S***.,ได้รับสินค้าไม่ครบขาดไป 1 ชิ้น ติดต่อทางร้านไปแล้ว บอกว่าจะส่งมาให้อีก 1 ชิ้นที่ขาดไป ก็ยังไม่ได้รับเลยไม่รู้ส่งมาจริงรึเปล่า รอมาหลายวันแลัวไม่ส่งชิ้นที่ 2 มาให้ตั้งใจจะไม่ส่งรึเปล่สคะ งั้นจะรายงานกับทางลาซาด้านะคะ,Negative
n***f,แย่แพ็คของได้ทุเรศมากรัดยางมาได้ไงไม่ได้ซื้อของมือ2นะเว้ย,Negative
*******573,ก็ตามราคา เสียงเบามาก เวลาคุยแทบจะไม่ได้ยิน เวลาคุยเสียอารมณ์มาก เอาไมไว้ที่ปากแล้วนะ,Negative
วาสินี ส.,"ใช้ละ ซ้ายออกขวา ขวาออกซ้าย เพราะคำว่าของถูก
ลดดาวซะ อย่าเห็นแก่ของถูก",Negative
ศิริพร ภ.,สินค้าไม่ตรงปก คุณภาพเสียงตามราคา,Negative
pachara.emo666,ปลอมเกรดต่ำ สิ้นค้าไม่ตรงปก กาก ดีแต่โฆษณา,Negative
