User,Message,Sentiment
Suchada M.,ได้รับของแล้ว ถูกต้องครบถ้วน ตรงตามที่สั่ง รอของไม่นาน ประมาณ 3วันถึงของถึง แก้วค่อนข้างที่จะเบาไม่หนัก 👌🏻👌🏻,Neutrally
ศ***.,แก้วใบใหญ่ สีสวยตรงปก ส่งไวค่ะ แต่เก็บความเย็นได้ไม่ค่อยดี มีไอน้ำเกาะข้างแก้วค่ะ น้ำละลายเร็ว,Neutrally
Maxky.Kung,สินค้าตรงตามที่โฆษณา คุณภาพตามราคา ขอตำหนิ กล่องบรรจุภัณฑ์บุบสลายบี้ ทำให้สินค้าตรงฝา มีรอยกระแทก ถลอก แต่ไม่แตกไม่บุบเสีย อยากให้ปรับปรุงการบรรจุของส่งจากซองพลาสติก มาเป็นกล่องอีกชั้นจะดีมาก,Neutrally
เอกรัตน์ ฤ.,ได้รับสินค้าแล้วครับ แต่ไม่เก็บความเย็นเลยซักนิด,Neutrally
นิคม บ.,สินค้าไม่ตรงตามที่สั่ง ส่งแบบมีหูหิ้วส่งมาไม่มีหูหิ้ว,Neutrally
D***.,สั่งสีขาวได้สีครีมมา  แต่คุณภาพดี❤️,Neutrally
S***.,สั่งครั้งแรกสีขาวได้สีครีม สั่งครั้งที่2สีเทาตรงฝาหัก😥😥😥😥,Neutrally
N***.,แก้วเก็บความเย็น ไม่รู้เป็นที่ อะไร  เสียเวลาเสียตังค์ ไปป่าวๆ เลยครับ  แย่ครับ เสีย ความรู้สึก,Neutrally
Lady L.,ช้าไปหน่อย แต่เห็นของละสวย โอเคให้อภัย ขอหัก2ดาวนะคะ,Neutrally
อัญรัตน์,แก้วสวย แต่ยังมีไอน้ำเกาะ,Neutrally
*******463,ของส่งมาไม่ใส่กล่องมีแต่แก้วล้วนๆแล้วจะขายให้ลูกค้ายังไงมันเหมือนของไม่มีราคาเลยงวดหน้าคงไม่สั่งอีกแล้วไม่เหมือนที่โชในรูปมที่ขายมีกลาองใส่,Neutrally
N***.,"สินค้าไม่มีกล่อง แต่เป็นการแพ็คของด้วยบับโบ้
สภาพสินค้าเวลามาถึงถือว่าใช้ได้อยู่ถึงจะไม่มีกล่อง
ยังสวย และ ได้ของครบ",Neutrally
พราวตา น.,รอบนี้ต้องขอหักดาวนะคะ เพราะสินค้ามีตำหนิ ตามภาพเลยค่ะ รอบแรกสั่งสีทองมาดีค่ะ ถูกใจเลยสั่งสีดำอีกอัน แต่แกะป้ายออกแล้ว เห็นแบบนี้ตอนล้าง กล่องก็ไม่มี ห่อบับเบิ้ลมา คือเหมือนของมีตำหนิมือสอง ไรงี้อ่ะค่ะ ก็เสียใจนิดหน่อยนะคะ สภาพแบบนี้ส่งมาให้เสียดาวทำไมเอ่ย  แต่คงไม่ส่งคืนอ่ะค่ะ เสียเวลา ราคาแค่นี้ใช้ๆ ไป ไม่รั่วก็โอเคแระ,Neutrally
Fern K.,ทางร้านไม่ห่ออะไรให้เลย ใส่กล่องมาเฉยๆ แถมแก้วมีตำหนิมีรอยบุบ,Neutrally
*******670,"เห็น​รีวิวถึง​ซื้อ
แต่พอได้ของ สินค้า​ไม่มีกล่องมาให้
ใส่แค่บับเบิลบางๆ ลองใส่น้ำกิน ก็​ตามรูปเลย
ปกติใบที่ใช้งานปัจจุบัน​ไม่เคย​เป็น​แบบนี้
แต่ก็นะ ตามราคาแหละ
สรุป ไม่เก็บความเย็น",Neutrally
tapanee,ได้ของครบ รอไม่นาน คุณภาพสินค้าแย่ ใส่น้ำแข็งปุ๊บ แก้วเย็นเป็นหยดน้ำเกาะแก้ว เก็บความเย็นแทบไม่ได้,Neutrally
จิระพล ข.,"เปิดกล่องออกมาเจอฝาแตก
ทางร้านบอกจะเปลี่ยนฝาให้ใหม่
ผ่านไปหลายวันแล้ว ยังไม่ได้เลย",Neutrally
