User,Message,Sentiment
ยุ้ย,"โอ้ยเนาะเห็นว่าให้ราคาถูกคุณกะให้แต่กะทะฉันมา
หูกะทะคุณกะบ่อให้ฉันทำไมคุณทำแบบนี้ละ่ไม่เข้าใจเลยจริงๆ
ถ้าคุณไม่อยากในราคานี้คุณก็ขายราคาปกติก็ได้นะขอให้แต่มันได้
มาครบแค่นั้นก็พอฉันไม่บ่ใจมากเลย
(มีแต่กะทะ)
(หูไม่มีมาให้)",Negative
คุณนู๋ ต.,ส่งของไว แต่การแพ็คของมาคือแย่มากๆ กันกระแทกก็บางไม่ใส่กล่องหรือว่าอะไรที่แข็งแรง ใส่แค่ถุงมามันกันกระแทกไม่ได้ค่ะ กระทะบุบหลายที่เลย รู้สึกไม่โอเครมากๆ เป็นครั้งแรกที่เฟลกับการบริการของร้านค้า ถ้าเป็นไปได้ควรปรับปรุงการแพ็คของใหม่นะคะไม่งั้นคงไม่มีใครมาสั่งซ้ำหรอกค่ะ😡😡😡😡,Negative
chanokkamol,ได้แต่ใบกระทะมา ด้ามจับก็ไม่ให้มา แล้วจะสั่งทำไมค่ะแบบนี้ ทักหาทางร้านก้ทักไม่ได้ แย่มากกกกก🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬ขอบคุณค่ะ🙏🏻,Negative
Mai P.,สินค้าสวยแต่มีตำหนิไม่แน่ใจว่าเกิดจากขนส่งรึที่ร้านแนะนำให้ใส่กล่องดีกว่าใส่ถุงค่ะสินค้าเสียหายลูกค้าเสียความรู้สึก,Negative
กัญญา,เยื่อจัง สั่งอะไรมา บุบ แตก หมดเลย,Negative
Jirawat N.,โดนความร้อนเเล้งลอกเลยครับ,Negative
Supanee P.,สินค้ามีตำหนิ​คุณภาพบางๆคงใช้ได้ไม่นานพอกับราคา,Negative
เอื้ออังกูร จ.,ไม่มีด้ามจับ,Negative
Aurairat S.,แย่มาก สั่ง3ใบได้มา2ใบ เก็บเงินจำนวนเต็มทักไปก้อไม่ตอบแชทด้วย110บาทถือว่าทำบุญค่ะ,Negative
Njoy,ส่งกระทะมาแต่ไม่ให้ด้ามมาคือยังไงคะ สอบถามทางแชทไปก็ไม่อ่าน รบกวนร้านรับผิดชอบหน่อยค่ะ,Negative
ภ***.,ส่งของช้ามากสินค้ามีตำหนิก้นกะทะมีรอยบุบด้วย,Negative
*******405,กะทะมีรอยยุบ แย่ๆๆๆๆๆๆ,Negative
8***8,ร้านนี้เฮงซวยมากสั่งกระทะเทฟล่อนสามใบส่งของมาก์ไม่ตรงกับที่ลงขายที่ลงขายจะเป์นที่จับสีแดงดำแต่ส่งของมาให้เป์นที่จับสีดำตัวกระทะคอนข้างบางเพราะเคยใช้แบบทีจับสีแดงจะหนากว่าแบบนี้ แนะนำเลยคนที่จะซื้อร้านนี้คืดให้ดีกอน ส่วนตัวเองขอบาย,Negative
thanaton W.,ไม่ใช่ตราเพชรของแท้ ส่งมาเป็นชิ้นไม่มีความสมบูรณ์สวยงามเลย ต้องมาประกอบเอง อีกทั้งด้ามจับยังเป็นรอยแตกอีกด้วย ต่างกับอีกร้านที่ส่งมาอย่างสวยงาม,Negative
พิเชฐ พ.,กระทะมีความค่อนข้างบาง คิดว่าไม่น่าจะทน หีบห่อไม่มีกล่อง ตัวกันกระแทกบางทำให้กระทะมีรอยบุบ,Negative
0***3,ได้รับสินค้าตรงปก กระทะใบใหญ่ แต่..... ไม่มีด้าม ให้เราจับ แล้วจะใช้งานยังไงเนี่ย😥😥😥,Negative
ดร.ณุมาพร @.,กะทะใบใหญ่มาก แต่ใส่ซองพลาสติก ห่อบับเบิ้ล 1 ชั้น (ย้ำว่า 1 ชั้น) กะทะเลยบุบ ไม่แน่ใจว่าบุบจากร้าน หรือบุบในขณะขนส่ง,Negative
กมลวรรณ เ.,ได้รับสินค้าในสภาพที่แย่มากขอบกระทะบิดเบี้ยวมาก  ด้ามกระทะก็ไม่มี เอาสินค้าที่ชำรุดเสียหายมาขายให้ลูกค้า ไม่มีความซื่อสัตย์ต่ออาชีพ ลค.คนอื่นก็เจอเหมือนกัน ร้านค้าควรจะปรับปรุง,Negative
รณกฤต น.,สินค้าบุบจากขนส่ง..แต่เป็นเพราะร้านห่อบับเบิลบางๆ มาชั้นเดียว..ห่วยครับ ขี้เกียจส่งคืน ให้ 1 ดาว..,Negative
Tanndy K.,ได้น้อตมาไม่ครบคะ แย่มาก 😥😥,Negative
ทีรัก ว.,ส่งของไม่ตรงปกสั่งแบบได้อีกแบบใครจะซื้อให้ไปซื้อร้านอื่นนะครับ ร้านค้าแย่มาก ของที่สั่งเป็นแบบแรกแต่ดูของที่ส่งมาให้ ทุเรศมากครับ และอีกอย่างไม่มีปุ่มให้กดคืนของด้วยครับเงินมัดมือชก,Negative
N***.,มีตำหนิหลายจุดเลย ก่อนส่งของไม่ได้เช็คเหรอว่ามีตำหนิ ใส่ห่อกระดาษบางๆมาให้ มีกันกระแทกแค่ชั้นเดียวซึ่งไม่สามารถกันอะไรได้เลย,Negative
0***2,"สั่ง 2 ใบได้มาใบเดียว
พอสั่งครั้งเดียวจบ",Negative
