User,Message,Sentiment
ปิยะมาต,ส่งไวมากสั่ง13ได้14แต่ขอหักคะแนนนะคะฟังได้แค่ข้างเดียวค่ะอีกข้างไม่ดังเลยเสียอารมฌ์,Neutrally
กีระติ แ.,สั่งรอบที่2สองชุด ทำไมได้อุปกรณ์เสริมมาชุดเดียว ได้ไม่ครบนี่,Neutrally
Pakaporn N.,ได้ลองใช้ดูเเล้วก็โอเคอยู่นะคะ เเต่มันเจ็บหูนิดหน่อยเเล้วก็เสียงก็กล้องๆด้วยเเต่ก็ไม่ได้เเย่มาก,Neutrally
0***7,จัดส่งเร็วค่ะ เเต่กล่องบุบแต่หูฟังที่ได้ค่อนข้างไม่โอเคเพราะว่าข้างซ้ายติดๆดับๆมันรวนเอง เพิ่งเเกะมาใช้ได้วันเดียวเอง...,Neutrally
Amonrrat M.,เสียงพอใช้เสียงจะขาดๆนิดนึง สมราคาค่ะ,Neutrally
ณ***.,"ได้รับของไวมาก ของที่ได้ไม่ตรงกับรูปที่ลงขาย
ลองใช้แล้ว สามารถใช่ได้ แต่ยังไม่ได้ลองไมค์ตอนโทรฯค่ะ",Neutrally
เปา,ก๊องแก๊งตามราคา,Neutrally
Niyom H.,สั่งออปโป ส่ง ไรมา ไม่รู้ เสียงก็ไม่นิ่ม,Neutrally
Namcha,สินค้าใหม่ ได้ครบตามจำนวนที่สั่ง ส่งได้รวดเร็วมาก ทันได้ทันใจ....แต่เสียงหูฟังออก ข้างเดียว,Neutrally
supawita,ได้รับของเร็วมาก แต่สภาพกล่องคือเละไม่ไหวทั้งหลุดแล้วก็ฝุ่นเกาะ แต่หูฟังข้างในใช้ได้ได้ยินเสียงสองข้าง เราเลยไม่ได้มีปัญหาอะไร จบบบ,Neutrally
Ketsarin Y.,ได้รับของแล้วค่ะหูฟังใช้ไม่ได้เลยดังข้างเดียวเปิดถุงมาเป็นแบบนี้ค่ะ,Neutrally
Somchai P.,เสียงพอใช้ได้ เวลาฟังเพลง แต่เวลาพูดคุยแล้วเสียงจะเบามาก ๆ มั้ยค่อยโอเค เท่าไหร่  มั้ยหน้าจะใช่ขอแท้,Neutrally
Apinya,สนค้าใช้ดีค่ะ......แต่การห่อของมาไม่ค่อยโอเคเท่าไหร่,Neutrally
Patsaya U.,สภาพกล่องมาแบบยับเยินมาก แต่ก้อสมราคา,Neutrally
K***.,"เหมาะสมกับราคา👏
สั่งสินค้า 29/03 ได้ของ 02/04",Neutrally
Natty G.,ได้สินค้าแล้วคะ สั่งสินค้า วันที่ 3 เพิ่งจะได้รับของวันนี้วันที่ 9.,Neutrally
วิโรจน์,การส่งมอบตรงเวลา สินค้าอยู่ในสภาพดี,Neutrally
0***2,กล่องขาด หูฟังมีรอย แต่เสียงพอใช้ได้,Neutrally
วัฒิ ร.,ของแท้ แน่นอน ขื้อ 2 กล่อง อีก 1 กล่อง ดังข้างเดียว อีกกล่องเสียงดีมาก  หัก 2 ดาว ส่งมาเปลี่ยนด่วน ไม่งั้น ลดดาว,Neutrally
ว***.,ใช้ได้ปกติไม่มีปัญหาอะไรนัก คุณภาพเสียงไม่ได้ดีอะไร แต่ก็ฟังเพลงได้เป็นมาตรฐาน คุ้มตังอยู่นะเพราะลดราคาขายถูกดี,Neutrally
สายชล ธ.,ส่งช้ามาก,Neutrally
ธรรญสร ช.,ดังข้างเดียว,Neutrally
B***.,ซื้อ6 ดังเบา5 ดังดี1 หัก2ดาว,Neutrally
0***1,ได้รับของแล้วส่งไวมากสมราคาเสียงไม่ค่อยได้ยินเบามากทั้ง 2 อันซื้อ 1 แถม 1,Neutrally
Ne N.,ซื้อ2อัน เสียงสลับข้าง1อัน ปกติ1อัน,Neutrally
0***7,ไม่มีรูลำโพงค่ะแต่ก็โอเคอยู่,Neutrally
0***2,สินค้ามีปันหา,Neutrally
0***9,เสียงไม่ดี  เบสไม่มีเหมือนหูฟัง  20บาท,Neutrally
Joe S.,ดีสมราคา แต่พอเปิดกล่องออก หูฟังไม่ได้อยู่ในช่อง เหมือนกับมีการแกะออก,Neutrally
0***3,เสียงชัดค่ะเเต่ใช้ได้วันเดียวสายหลุดเลย,Neutrally
Panachai T.,ส่งเร็วมากก หูฟังไม่มีปัญหา,Neutrally
