User,Message,Sentiment
โกศล เ.,ส่งมาคนละสีเลยที่สั่ง,Neutrally
นางสาวหนึ่งฤทัย เ.,ตรงปกค่ะ แต่บางไปหน่อย เหมาะสมกับราคาอะค่ะ แต่คุณภาพไม่รุ้เป็นไง จะใช้ได้ทนรึป่าวไม่รุ้,Neutrally
K***5,สินค้า​แพค​เกจ​ร้านค้า​แพค​มา​แข็งแรง​ดี​ แต่สีหนังด้านในคนละสีกับด้านนอก​ การจัดส่ง​สินค้า​จัดส่ง​รวดเร็ว​,Neutrally
Adtarrat T.,ไม่ตรงปก ไม่มีปั๊มโลโก้ ส่งครบตามจำนวน,Neutrally
Sㅇ S.,"สั่ง3 ไม่ตรง1😂😂เหมาะสำหรับใช้ทุกวัน, รองรับบัตรหลายใบอย่างปลอดภัย, กระเป๋าสะดวกและเบา,",Neutrally
K***.,บอกสั่งก่อนเที่ยงคืนจะจัดส่งภายใน 2 วัน แต่ส่งจริง 4 วัน กระเป๋าหนังบาง แต่ก็เหมาะสมกับราคา ติดตรงส่งไม่ตรงเวลาแค่นั้น,Neutrally
พระครูผาสุกธรรมานุศาสก์,ได้รับของตามที่สั่งส่งเร็วดีมากพนักงานพูดดี แต่เสียทีกระเป๋าใบเล็กไปใส่ได้แต่แบ้งค์ เหรียญ 10 /5 ใส่ไม่ได้ เอกสารใส่ได้บางรุ่น แต่ก็สมราคา ชอเสียคือผู้สั่งดูขนาดไม่ออก,Neutrally
*******264,ส่งเร็ว ของตรงปก สมราคา,Neutrally
เอ พ.,ชำรุดและขาดครับ,Neutrally
ดวงดี ท.,บางๆตามราคา,Neutrally
Flame N.,บางไปนิด,Neutrally
น.ส.สุนิยา พ.,กระเป๋าบางมากๆๆๆตามราคาค่ะแต่ไม่คิดว่าจะบางขนาดนี้,Neutrally
ณัฐนันท์ แ.,ไม่ตรงปก ซื้อแล้วเหมือนถูกหลอก,Neutrally
นายวีรพงษ์ ท.,บางหนังเทียม,Neutrally
สุรศักดิ์ อ.,บอบบางมากครับน่าจะไม่นาน,Neutrally
apisak S.,สมราคาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา,Neutrally
*******815,ได้ค่ะ,Neutrally
ค***ย,ไม่มีซีปตรงช่องใส่เงินเลยไม่โอเค,Neutrally
นายพิพัฒ ม.,ตามราคา บางๆเล็กๆไม่น่าทนต่อการใช้งานมากนัก ช่องสำหรับเก็บบัตรต่างๆน้อยไปหน่อย ต้องเอามาเก็บในช่องใส่ธนบัตร​ เวลาค้นหาเลยต้องหยิบมาเลือกทั้งหมด,Neutrally
0***7,ดี,Neutrally
