User,Message,Sentiment
ขอโทด ท.,สินค้าดีมากเลยค่ะ ส่งของไหวมากกก แม่ค้าก็เป็นกันเองมากค่ะ,Positive
สุรเสก,ไม้ถูพื้นหัวฝองน้ำ ได้รับสินค้าครบถ้วนเรียบร้อยแล้วครับ การจัดส่งสินค้ารวดเร็ว ราคาไม่แพง,Positive
น***ด,"หัวฟองน้ำที่ดูดซับได้อย่างดี, ใช้ง่ายและง่ายต่อการทำความสะอาด, เอาฝุ่นและสิ่งสกปรกออกได้อย่างมีประสิทธิภาพ, 
ร้านจัดและส่งของเร็วมาก ของครบสมบูรณ์ ไม่มีตำหนิ ขนส่งสุภาพมากๆ",Positive
0***3,"วัสดุดูแข็งแรง น่าใช้ สั่งสีเทา มาสีส้ม ตรงนี้ไม่โอเคร
โดยรวมน่าจะดีๆๆๆๆๆๆๆ
เพรายังไม่ใช้",Positive
t***.,ยังไม่ได้ลองใช้แต่เช็คเคี้ยวขอแล้วน่าจะใช้ด้วยกันได้ได้รับส่วนลดจากคอยได้นิดหน่อยแต่ได้ส่งฟรีคุ้มค่ามากๆ,Positive
6***3,ประกอบร่างง่าย ฟองน้ำนิ่มลื่น น่าใช้มาก กดบีบง่าย ราคาไม่แพง ตัวด้ามแข็งแรง สีสรรน่าใช้ ขอให้อยู่นาน,Positive
8***0,สินค้าดี  ทางร้านส่งสินค้ารวดเร็วดี  (รูปและวีดีโอไม่ตรงกับสินค้าจริงเนื่องจากไม่ได้ถ่ายรูปไว้),Positive
9***3,ดีอยู่นะห่อมาแน่นหนาค่ะ ด้ามจับเหล็กบางไปหน่อย และสั้น รวมๆก้อโอค่ะ,Positive
Pao-Tung,ยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็ว,Positive
Pao-Tung,ยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็วยังไม่ได้ลองสินค้า รูปลักษณดีบริการร้านค้าดี จัดส่งเร็ว,Positive
pongtep,สินค้าตรงปก ไม่มีอะไรเสียหาย ประกอบง่าย ใช้งานได้ดี,Positive
s***6,"หัวฟองน้ำที่ดูดซับได้อย่างดี, ช่วยรักษาระดับพื้นสะอาดและแห้ง, เหมาะสำหรับถูพื้นผิวต่างๆ, ดูดซับน้ำและฝุ่นได้อย่างมีประสิทธิภาพ, ทำให้พื้นสะอาดและเงา, ดีมากสำหรับดูดซับน้ำ, เอาฝุ่นและสิ่งสกปรกออกได้อย่างมีประสิทธิภาพ, ทนทานและใช้งานได้นาน,",Positive
0***7,ได้รับสินค้าตามภาพ สินค้าตรงปกค่ะ ใช่ได้ดีเลยค่ะ การจัดส่งไม่นาน ใช้โค๊ดลูกค้าใหม่ถูกใจมาก,Positive
พัชรามัย ธ.,"หัวฟองน้ำที่ดูดซับได้อย่างดี, เอาฝุ่นและสิ่งสกปรกออกได้อย่างมีประสิทธิภาพ, ใช้ง่ายและง่ายต่อการทำความสะอาด,",Positive
พัชรามัย ธ.,"ได้รับสินค้าครบถ้วนตามที่สั่ง ใช้ดีดูดซับน้ำและฝุ่นได้อย่างมีประสิทธิภาพ, ทนทานและใช้งานได้นาน,",Positive
