User,Message,Sentiment
Pranee,ของตรงปก ส่งมาไม่เสียหาย ความแรงมี3ระดับ เบอร์3พอจะรู้สึกเย็น ตามราคา,Neutrally
This I.,ตรงปรกแต่ส่งช้านิดนึง,Neutrally
ล***.,"อันใหญ่ค่ะ ลมแรงดี  ส่งไวด้วย ขนส่งดีสุภาพ เรียบร้อย 
แต่ๆๆๆๆ เอาใช้งานจริง ไหม้เฉย งงมาก บอบบางอะไรขนาดนั้น ไฟหมด ชาร์จใหม่ได้กลิ่นไหม้คลุ้งเลย ก็สมราคานะ ราคาเท่านี้ไม่เหมาะกับคนที่ใช้งานหนักนะเอาจริง",Neutrally
�***�,555 สินค้าแตกหัก☹️ กล่องยับเยินไม่มีการห่อกันกระแทรก💔,Neutrally
นงคราญ ไ.,ได้รับของแล้วค่า,Neutrally
*******556,"ได้รับของแล้วนะ
สั่งไว้วันพฤหัส ได้รับของวันอังคาร
เพราะต้องรอของเข้าสต๊อกก่อน
สินค้าทำงานได้จริง
แต่ลมค่อนข้างเบา ถึงกดระดับสามแล้วก็ตาม
ในกล่องไม่มีหัวชาร์ทมานะคับ
มีเพียงตัวพัดลมและสายชาร์จเท่านั้น
โดยรวมก็รับได้นะ เพราะเปิดแล้วทำงาน
มีลมออกมาแบบชิลๆ",Neutrally
วิภาวี ว.,ใหญ่ดี แต่ลมไม่แรงเลยเบอร์3ก็ไม่แรง,Neutrally
N***e,ร้านแพ็คสินค้ารวดเร็ว จัดส่งรวดเร็ว พัสดุห่อมาดี มาถึงไม่เสียหาย คุณภาพสินค้าพอใช้ ชาร์ทเต็มแต่พัดไม่แรง 1 2 3 ความแรงไม่ต่างและใช้ได้ไม่นาน,Neutrally
เ***.,ใช่ดีมากครับโอเครสำหรับพกพาสบายๆคับ,Neutrally
Teerapog T.,"ลมไม่แรงเลยถ่ายเก็บก้อนเล็กเกินไปไฟใช่ได้แค่5นาทีนึกว่าจะอยู่ได้เป็นชั่วโมงไม่ได้เรื่องครับอย่าไปชื้ออย่าไป
เชื้อ",Neutrally
0***6,ควรมีการใส่แผ้นกันกระแทกและแจ้งขนส่งเนื้องจากสินค้ามีการชำรุดแตกหากว่า ดูจากสภาพของกล่องแล้วบุบทำให้สินค้าด้านในมีรอยแตกตามรูปภาพค่ะ,Neutrally
P***.,คอพับคออ่อน ตั้งไม่ค่อยจะอยู่ ชารผเต็มใช้งานได้วันเดียว ไฟดับไม่พอใช้งาน ลองหาแบบอื่นดีก่า,Neutrally
0***1,สินค้าราคาถูก แต่แบตหมดเร็วมาก,Neutrally
s***k,ใช้แล้วแบตเก็บไม่อยู่ต้องเสียบไว้ตลอดเหมือนเป็นของเด็กเล่นมากกว่าแทบไม่มีความเย็นออกเลย,Neutrally
