User,Message,Sentiment
ณิชชาภัทร พ.,พัดลมแรงลมเย็นดีมากค่ะ ชอบมาก ไว้จะสั่งอีกตัวค่ะ แนะนำราคาไม่แพง❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Negative
0***1,ัพัดลมสั่งซื้อ3รอบแล้ว รอบนี้ไม่ปลื้มเลย สั่ง2ตัวสีไม่เหมือนกันกล่องก็ไม่เหมือน ใช้ได้แค่ตัวเดีบว อีกตัวใช้ไม่ได้สวิสเปิดไม่ได้,Negative
อริยาภรณ์ ห.,พัดลมชาร์จได้ เคยใช้แบบนี้มาแล้วใช้ดี ลมเย็น สะดวก ชาร์จทิ้งไว้ได้ แล้วก็ยกไปที่อื่นได้,Negative
Nan D.,ถูกใจเลย  ราคาถูกฟังก์ชั่นครบ  พับเก็บง่าย ราคาไม่แพง,Negative
Satchakorn R.,🧡จากการได้รับสินค้าแล้วและได้ตรวจสอบแล้วมีความคุ้มค่าดีมากคุณภาพของสินค้าดีมากความรวดเร็วในการจัดส่งถือว่ารวดเร็วมากๆการให้บริการก็ถือว่าดีเยี่ยมแนะนำเลยขอบคุณมากครับให้ห้าดาวแล้วนะครับ ถ้าไม่เป็นการรบกวนช่วยประเมินคะแนนผู้ซื้อกลับด้วยนะครับ ขอบคุณครับ,Negative
Num F.,ห่วยมาก  ส่งอันพังมาตัว  อีกตัวใช้ได้  ชาตเป็นชม.เปิดชม.กว่าหมด..ไม่ตรงเหมือนที่รีวิวสั่งไป2ตัวสรุปใช้ได้ตัวเดียว,Negative
ชวการ ข.,ห่วยมากอย่าไปซื้อนะจ๊ะขอเตือน เปิดกล่องมาปถ่มกดก็พังแล้ว ยังไม่ทันได้ชาจเปิดใช้,Negative
ต***.,ได้สินค้าแล้วดีมากเลยชอบมากค่ะมั่นใจพนักงานขนส่งพูดจาดีมีความรับผิดชอบในการตอบคำถามลูกค้า,Negative
*******877,มอเตอร์หมุนผิดข้างทำให้ไม่มีความเย็นเลย ดีนะแฟนซ่อมพัดลมเป็นสลับสายไฟ ใช้ได้ปกติ,Negative
เทพบุตร เ.,สั่งสีขาว ได้สีเขียวงงคับ,Negative
*******556,พัดลมมี3ระดับเปิดแล้วเท่ากันหมดเหมือนไม่มีแรงเปิดสุดแล้วยังไม่แรงเลยใช้ไม่ดี,Negative
ล***.,ส่งมาเป็นพัดลมแบบมีสาย และต้องเสียบสายเท่านั้น ไม่มีแบตเตอรี่ในตัว ปรับความแรงลมไม่ได้,Negative
rtx M.,ฉันไม่ได้รับสินค้าเลยครับ,Negative
Milk R.,"ได้รับของแล้วค่ะแต่ใช้งานแบตหมดเร็วมากกก 
และเสียงดังด้วย",Negative
0***6,ไม่ดีครับใช้ได้5นาทีดับเฉยเลยขยาดชาตเต็แล้ว,Negative
สุริยา แ.,แบตเตอรี่หมดเร็วเกินไป,Negative
*******307,"ชอบ ยุจ้า แต่ใช้ได้วันเด๋ว เจ้งเลย
ดีใจมากค่ะพนักงานมาเห็นเรารีวิวโทรกลับมาบอกว่าจะชดใช้สินค้าคืนให้ดีใจมากเลยค่ะ",Negative
8***9,เก๊บไฟไม้อยู่เปิดแปปเดียวดับต้องชารจ์ใหม่สั่งมาสีละ1,Negative
Wassana P.,รับของวันนี้แกะมาลองใช้ดู2นาทีดังกราวใบพัดหลุด เสียเงินฟรีเลยค่ะ แย่จัง🥺สั่งตัวที่2แล้ว ตัวที่1ใช้ดีมาก,Negative
*******715,ร้านนี้ถูกใจมากๆค่ะมีโอกาสจะสั่งอีกค่ะ,Negative
รัตตพล เ.,ใช้งานไม่ได้,Negative
Lak K.,รูปร่างของพัดลมสวยดีแต่!!แรงลมเบามากขาดระดับ3ยังไม่รู้สึกถึงความเย็นเลยไม่แนะนำให้ใครซื้อค่ะ,Negative
ย***.,ไม่เย็นเลยค่ะ,Negative
0***8,พัดลมไม่แรงเบามากๆๆๆ เปิดเบอร์3แล้วก็เบา,Negative
Santi,เบามาก ลมแทบไม่มีแรง,Negative
ก'กิ๊ฟ'ฟ ค.,พังง่ายมาก,Negative
