User,Message,Sentiment
นายสิทธิศักดิ์ ม.,เล็กไป,Negative
ป***.,เนื้อผ้าบางมาก คิดว่าเอาเศษมุ้งมาทำ คือบางจริงๆ ส่วนตัวไม่ชอบและไม่ใส่ ทำผ้าขี้ริ้วยังเช็ดไม่ได้อ่ะ จะบางไปไหน,Negative
แพร'ร ส.,ไซส์ไม่ตรงตามที่แจ้ง ส่งสินค้ามาไม่ถูกตามที่สั่ง,Negative
ผมเกิดในรัชกาลที่ ๙.,สั่งสีฟ้านะครับผมไม่ได้สั่งสีอื่น,Negative
0***8,วัสดุผ้าเนื้อไม่บางค่ะใช้ได้ ขนาดเล็กไม่นิดค่ะแต่ใส่ได้อยู่ การออกแบบออกแบบสวยค่ะมีกระเป๋าใบค่ะคุ้มมากเลยค่ะ,Negative
t***i,ตัดเย็บไม่ดี,Negative
ณัฐวรรธน์ ก.,สั่งขาสั้นได้ขายาว ไม่ตรงสเปคตามที่สั่งครับ,Negative
ดอกหญ้ากับพายุ ส.,แย่มาก สินค้าบุบเสียหาย แพคมายังไง กล่องไม่ใส่ กันกระแทกชั้นเดียว เอาหัวสมองหรือหัวเข่าคิด ซื้อเสียตังนะไม่ได้มาขอฟรีๆฝากไว้ให้คิด,Negative
v***n,บางมากคะ,Negative
นิยดา อ.,สีไม่ตรงกับภาพ ไม่สวย ร้านส่งของช้ามาก ขนส่งช้า,Negative
patteera S.,ผ้าเช็ดตัวเป็นขุยและขนติดเต็มไปหมดแย่มากของถูกและดีหายากจริงๆซักกับเสื้อผ้าใหม่ขนติดเต็มไปหมดเสื้อเสียหายเลยค่ะ,Negative
ฟานซ่า,แย่ไม่ตรงปก ตัวเล็กมาก,Negative
P***.,เราสั่งร้านนี้หลายครั้งก็ให้ห้าดาวแต่พอครั้งสุดท้ายเจอคุณภาพแย่แล้วพอทักแชทไปได้สติกเกอร์ตอบมาหนึ่งตัวตามนี้ค่ะ,Negative
****8,แพ็คมาไม่ดีเลย แพ็คใส่ถุงมีกันกระแทกบางๆข้างใน แกะออกมา ปรากฎว่าบุบ,Negative
Pakbung K.,สินค้าผิดหวังมาก ขนหลุดขุย ใช้งานไม่ได้ สุดท้ายต้องทิ้ง เสียดายเงิน,Negative
ไพรัตน์ ช.,มันแย่มาก,Negative
Simlan J.,ทรงสวย เนื้อผ้าใช้ได้สมราคาคะ,Negative
8***5,ตรงปก ราคาไม่แพง ส่งไว,Negative
อ้อม,ของหรอกตาเหมือนเอาเส้นมาทมาใส่กล่องให้ดูดีกล่องก็เบี้ยวเหมือนเอากล่องเก็บมาจากขยะมาใส่เสียความรุ้สึกคะอย่าทำคะคนชื้อเขาก็อยากได้ดีๆกันทุกคนละคะ,Negative
Karnmanee B.,คุณภาพตามราคาค่ะ ใช้ไม่ถึงเดือนลอก สนิมตามมา,Negative
*******556,พัดลมมีระดับเปิดแล้วเท่ากันหมดเหมือนไม่มีแรงเปิดสุดแล้วยังไม่แรงเลยใช้ไม่ดี,Negative
ส***.,คราบยังอยู่เหมือนเดิมค่ะ,Negative
สิ่งที่ดี ก.,เสียงไม่ค่อยดัง,Negative
